flight_number,date_time_utc,rocket_configuration,launch_site,payload,payload_mass,orbit,user,launch_outcome,remarks
D1,18 April 2001 10:13,Mk I,First,GSAT-1,1540 kg,GTO,INSAT,Partial failure,"Developmental flight, payload placed into lower than planned orbit, and did not have sufficient fuel to reach a usable orbit. [ 1 ]"
D2,8 May 2003 11:28,Mk I,First,GSAT-2,1825 kg,GTO,INSAT,Success,Developmental flight. [ 14 ]
F01,20 September 2004 10:31,Mk I,First,GSAT-3,1950 kg,GTO,INSAT,Success,First operational flight. [ 15 ]
F02,10 July 2006 12:08,Mk I,Second,INSAT-4C,2168 kg,GTO,INSAT,Failure,One of the L40 strap-on engines failed at lift-off. Both rocket and satellite had to be destroyed over the Bay of Bengal after the rocket's trajectory veered outside permitted limits. [ 16 ]
F04,2 September 2007 12:51,Mk I,Second,INSAT-4CR,2160 kg,GTO,INSAT,Partial failure,2010–2017 [ edit ]
D3,15 April 2010 10:57,Mk II,Second,GSAT-4,2220 kg,GTO,INSAT,Failure,First flight test of the ISRO designed and built Cryogenic Upper Stage (CUS). Failed to reach orbit due to malfunction of the Fuel Booster Turbo Pump (FBTP) of the cryogenic upper stage. [ 23 ]
F06,25 December 2010 10:34,Mk I,Second,GSAT-5P,2310 kg,GTO,INSAT,Failure,"First flight of GSLV Mk.I (c). Aft shroud of upper stage engine bay disintegrated due to aerodynamic loads, snapping the electrical continuity to L40 strapons. [ 24 ] [ 17 ] Vehicle was destroyed by range safety officer after loss of control over liquid-fueled boosters. [ 25 ]"
D5,5 January 2014 10:48,Mk II,Second,GSAT-14,1980 kg,GTO,INSAT,Success,"The flight was scheduled for 19 August 2013, but one hour and 14 minutes before the lift off, a leakage was reported and the launch was halted. [ 26 ] Second flight of GSLV with indigenous cryogenic upper stage (CUS) developed by ISRO's Liquid Propulsion Systems Centre (LPSC) was launched successfully on 5 January 2014. [ 27 ] [ 28 ] It was a launch with precision of 40 m (130 ft). All the three stages performed successfully. [ 29 ] [ 30 ] This was the first successful flight of the cryogenic stage which was developed indigenously in India."
D6,27 August 2015 11:22,Mk II,Second,GSAT-6,2117 kg,GTO,INSAT,Success,"GSLV Mk II D6 with an Indigenous Cryogenic Engine (ICE) successfully ferried GSAT-6 payload into Geostationary Transfer Orbit (GTO) with injection parameters of 170 km x 35945 km, 19.96° inclination. The cuboid-shaped GSAT-6 satellite includes a technology demonstrator S-Band unfurlable antenna with a diameter of six metre which will provide S-band communication services during its expected mission life of nine years. [ 31 ] [ 32 ] [ 33 ]"
F05,8 September 2016 11:20,MK II,Second,INSAT-3DR,2211 kg,GTO,INSAT,Success,First operational flight of GSLV Mk II. The injection parameters were met with extreme precision. Perigee was within 300m (within 0.18%) of the expected value whereas apogee was within 0.2% (80 km). The difference between expected and actual inclination degree was 0. INSAT-3DR is an advanced atmospheric weather satellite. as well as the second heaviest satellite placed in orbit by an indigenous cryogenic engine propelled GSLV [ 34 ] [ 35 ] [ 36 ]
F09,5 May 2017 11:27,Mk II,Second,GSAT-9 / South Asia Satellite,2230 kg,GTO,INSAT,Success,2018 [ edit ]
F08,29 March 2018 11:26,Mk II,Second,GSAT-6A,2140 kg,GTO,INSAT,Success,"Used an enhanced version of the Vikas engine called High Thrust Vikas Engine (HTVE) which had a thrust of 848 kN (191,000 lb f ) in GS2 stage. Electro-hydraulic Actuation used for gimballing in GS2 stage was replaced by more reliable Electro-Mechanical Actuation. [ 39 ] [ 40 ] [ 41 ] [ 42 ] [ 43 ] [ 44 ] [ 45 ]"
F11,19 December 2018 10:40,Mk II,Second,GSAT-7A,2250 kg,GTO,INSAT,Success,2021 [ edit ]
F10,12 August 2021 00:13 [ 50 ] [ 51 ],Mk II,Second,GISAT-1 / EOS-03,2268 kg,GTO,ISRO,Failure,2023 [ edit ]
F12,29 May 2023 10:42 [ 61 ] [ 62 ],Mk II,Second,NVS-01,2232 kg,GTO,ISRO,Success,2024 [ edit ]
F14,17 February 2024 12:05,Mk II,Second,INSAT-3DS,2275 kg,GTO,ISRO,Success,2025 [ edit ]
F15,29 January 2025 00:53 [ 66 ] [ 67 ],Mk II,Second,NVS-02 (IRNSS-1K),2250 kg,GTO,ISRO,Success,Second generation NAVIC satellite. Also known IRNSS-1K.
F16,30 July 2025 12:10 [ 68 ],Mk II,Second,NISAR,2393 kg,SSO,NASA / ISRO,Success,Orbital Reentry Experiment (OREX) of RLV-TD will use the existing GSLV launch vehicle with PS-4 stage instead of its CUS upper stages (due to decreased performance unlike a regular GSLV launch) and Orbital Re-entry vehicle (ORV) in place of its ogive payload fairing . [ 80 ] [ 81 ]
